char_pos,word_pos,file_line,origin,word_after,word_before,line,mikta,halacha,chapter,masechet_he,amud,daf
65,12,6887,ליידן,בראשון,ברגליו,06,1,007,003,עירובין,ג,כא
1,1,6899,ליידן,"""מי",,01,1,001,004,עירובין,ד,כא
1,1,6922,ליידן,פיס',,01,1,004,004,עירובין,א,כב
1,1,6936,ליידן,"""כיצד",,01,1,001,005,עירובין,ב,כב
111,25,6950,ליידן,העיקר,על,15,1,001,005,עירובין,ג,כב
248,50,6974,ליידן,יותר,מופלג,02,1,003,005,עירובין,ד,כב
167,34,7000,ליידן,עיר,''אנשי,05,1,008,005,עירובין,א,כג
1,1,7014,ליידן,"""הדר",,01,1,001,006,עירובין,ב,כג
19,5,7027,ליידן,נותן,עירב,02,1,003,006,עירובין,ג,כג
72,16,7051,ליידן,לערב,צריך,04,1,006,006,עירובין,ד,כג
198,40,7073,ליידן,רשות,לבטל,11,1,008,006,עירובין,א,כד
1,1,7089,ליידן,"""חלון",,01,1,001,007,עירובין,ב,כד
66,15,7107,ליידן,שנים,מערבין,07,1,002,007,עירובין,ג,כד
42,8,7131,ליידן,עירובה,ושלחת,02,1,009,007,עירובין,ד,כד
1,1,7139,ליידן,"""כיצד",,01,1,001,008,עירובין,א,כה
24,6,7164,ליידן,או',עקביה,02,1,008,008,עירובין,ב,כה
1,1,7177,ליידן,"""כל",,01,1,001,009,עירובין,ג,כה
162,33,7198,ליידן,מותרת,אינה,02,1,003,009,עירובין,ד,כה
